conv_id,text,predicted_intent,confidence,intent_id
48,@149601 got amazon uk beta code for bf2 and its not working??????,digital_content,70.0,
49,"Talked nearly 7-8 times, for my refund. The product was cancelled on 25th. And still i haven't received any refund. 
Courtesy- @115850",refund_or_return,90.0,3
50,@117634 Possible software upgrade to set varying defaults for the page the book opens at and the time elapsing before the screensaver?,app_or_site_technical,65.0,
51,@115833 Trying to set up for the 1st time but the app says my Amazon password is incorrect. no. it's not. any ideas?,account_access,85.0,7
52,@115850 there is a serious bug on your website; when trying to navigate using Next page or Page Number it redirects to Home Page.,app_or_site_technical,90.0,8
53,Anyone else charged multiple times this week for an @115830 Prime account they didn't take out?,billing_or_payment,80.0,5
54,"@10250 Tempted to upgrade from my Oneplus2 to Honor8Pro, Thanks 2 Amazon Sale it's available at 27k. Thoughts between Oneplus5 &amp; 8Pro?",general_feedback_or_praise,70.0,
55,"@115850 contact center number IVR is just taking me round in circles,need 2 speak to a rep to discuss regarding  #407-8962099-9902712 #JBL",account_access,75.0,7
56,Hi @amazonhelp how do I get a refund on item which hasn't arrived in a group parcel ?,refund_or_return,85.0,3
57,"@115850 
What kind of offer show??
 How many discount apply on oneplus 5 ??
Greate Nice offer😡😡 https://t.co/pMaUmcxduA",general_feedback_or_praise,60.0,
58,"Recharged with Amazon Pay Balance, how do I get to know that offer to win iPhone8 applied or not? @115850 @AmazonHelp https://t.co/d7CvlzmyPH",general_feedback_or_praise,65.0,
59,@AmazonHelp do you think it's acceptable to be woken up by a courier knocking your door when the delivery is for your neighbour?,delivery_problem,90.0,2
60,@115830 @AmazonHelp I’ve preordered Battlefront II - but no sign of the early beta code yet. When are these being sent out?,order_status,85.0,1
61,"@115850 worst shopping app
I bought a 25 let. Water heater. They returned it without my return request and said you have already requested",delivery_problem,90.0,2
62,"No Amazon! This is not an @797 , why would people pay extra ₹ 999 to you? 
@115850 @132994 @115858 https://t.co/C97lA18Lp6",general_feedback_or_praise,60.0,
63,#AmazonIndia cannot contact my amzagnt... Unable to receive my parcel. Where can I get more help ? His phone has been off since yesterday.,delivery_problem,90.0,2
64,@115830 We love you and love Prime but could you kindly ask your delivery drivers to give us more than 30 seconds to answer the door!!!,delivery_problem,75.0,2
65,Finally @115850 delivered #FIFA18 👍🏻 https://t.co/Th7mhE7J45,general_feedback_or_praise,80.0,11
66,@115850 order id 406-0875156-9923538 i cancelled it as its taking forever to come nd you guys ask for pick up from home date.. #shitamazon,cancellation_or_change,85.0,4
67,I liked a @126972 video https://t.co/PBI4llXHdD Amazon courier boy misbehavior with customers,general_feedback_or_praise,75.0,11
68,@AmazonHelp hello i order something on amazon on october 1st and it is yet to be shipped any idea why??,order_status,85.0,1
69,@115850 is tis a fake news? Wen wil I get my order? https://t.co/1J1x5FwYYV,order_status,85.0,1
70,@115850  cost of Morphy Richards Coffee maker is more on lightening deal.,general_feedback_or_praise,60.0,
71,@AmazonHelp I ordered on July 25th. I still do not receive anything and you already charged me. It doesn't let me cancel. Unacceptable. 😡😡😡 https://t.co/fVHv7s0nnw,refund_or_return,90.0,3
72,@AmazonHelp pre-ordered the new illustrated Harry Potter in May and it was released yesterday but I still haven't received?!,order_status,85.0,1
73,@115850 are u not ashamed of your self to promote ur great Indian festival by luring customers with fake prizes? Who's genius idea is this,general_feedback_or_praise,70.0,
74,"#Order canceled by Amazon India, complaint filed against #Amazon
https://t.co/qUK9raPnjt",cancellation_or_change,85.0,4
75,"Surely preordering something means you get it delivered on release day, not 5 days later @115830 @AmazonHelp 🙄 Seriously considering cancelling my Prime membership",subscription_membership,70.0,
76,Can't get early access to the Battlefront II Beta because someone at @115830 or @10115 messed up 🙄🙄🙄,general_feedback_or_praise,65.0,
77,"@115850 when would this be available in Amazon India??
https://t.co/jDu17jEtI2",general_feedback_or_praise,60.0,
78,@115850 I was brought one lenovo  laptop and not providing me tax paid invoice bill to extend warranty and lenovo team not extending,product_defect,80.0,6
79,"@118919 very poor service and cheating service.
Order kuch bhitar me maal kuch",delivery_problem,90.0,2
80,@115830 Please can you tell me why you put this tiny product in a package the size of a wardrobe. #pointlesspackaging #excessivepackaging https://t.co/YuIeDQ4DP0,general_feedback_or_praise,70.0,
81,"@115850 am fed up having products delivered without signing on a document.Every time I ask for the signing paper,they say it is downstairs",delivery_problem,85.0,2
82,"@115850 what is the use of lightening deals if all ur netbanking servers are giving errors, u shld chnged to hdfc deals https://t.co/d2ic1yWVOJ",app_or_site_technical,80.0,8
83,"Thank you, @117093, for existing. Despite some logistical frustrations, I am so lucky to have access to your services.",general_feedback_or_praise,70.0,
84,@AmazonHelp Refund not received for an order placed on 22nd September and cancelled.,refund_or_return,85.0,3
85,@115830 wrong parcel came been told to reorder but now it's doubled in price. I have screenshots of what I ordered and received HELP,product_defect,85.0,6
86,@115850  I ordered motoG5S plus frm Amazon by credit card.But they giving me refund. I paid interest of credit card for nothing.,refund_or_return,85.0,3
87,@115850 @951 Pls check the spec details sir....there is wrong info provided the #motoG5Splus Check this https://t.co/qoyffrOwgr,product_defect,80.0,6
88,"@115830 hello, i am having trouble getting in contact with someone about an issue with a return due to an amazon locker, please help!",refund_or_return,85.0,3
89,You'll help me? Your customer care exec won't. Whom should I trust? Trust? What am i even getting into? Phew @115850 https://t.co/SEbK16lTLG,general_feedback_or_praise,70.0,
90,Great welcome by Amazon to its Prime Member.😡😡😡 https://t.co/k8QSLXdDay,general_feedback_or_praise,70.0,
91,"@115821 
My shipment is supposed to arrive yesterday 3 Oct and I do not know why the delay was so much damaged by the delay of the shipment. https://t.co/3GU7MUmrvw",order_status,85.0,1
92,@115850 Still not got this ... https://t.co/fHH03O3Yql,order_status,85.0,1
93,@115850 #AmazonGreatIndianFestival is a chuttiappa? U guys delivered me an empty pckg of Mi4i Tempered glass. Really pathetic service. https://t.co/ZI286FMIDm,delivery_problem,90.0,2
94,"@AmazonHelp I can't log into my account, it's telling me that amazon cannot find an account with my email",account_access,90.0,7
95,"@AmazonHelp @115821 automated chat says it will ship October 9th, yet your site indicates you’ll email me when you can estimate a delivery https://t.co/e3EqR9u0lu",order_status,80.0,1
96,"Worst customer svc, orderd moto G5s+ whch ws faulty &amp; reqstd 4 refnd.pickd up after mre thn 2 wks and still nt refnded &amp; no update @115850",refund_or_return,85.0,3
97,@115850 hav prime membership. used to b best platform to shop. but now bad services. hw to discontinue prime n get money back ?,subscription_membership,85.0,10
98,"@AmazonHelp My Account had it's email change without me requesting it, please help",account_access,90.0,7
99,"@AmazonHelp 

1.AS PER YOUR INSTRUCTIONS I HAVE FORWARDED THE MAIL TO THE THIRD PARTY SUPPLIER.",other,75.0,12
100,Gotta love when @115830 say they tried to deliver a parcel and they didn't. https://t.co/TanWbd6nqM,delivery_problem,90.0,2
101,This is the same @115830 order that said 'Order now for delivery on the 4th!' listed under 'Prime' ... Arriving Saturday 7th now. https://t.co/z1BQv7rN2S,order_status,80.0,1
102,Creating an @117795 account is one of the worst decisions I've made 🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️,general_feedback_or_praise,70.0,
103,@115850 please add #discover card to make payments,billing_or_payment,60.0,
104,"@115850 Dear amazon my item has been delivered to somewhere else, instead of delivering it to me. No response.
#HateAmazon #BadService https://t.co/qaKFHeybtJ",delivery_problem,90.0,2
105,"@119625 need help. How do I project the video onto my TV? The player doesn't support chromecast. My TV, VU, can't download your app.",app_or_site_technical,70.0,
106,"@115850 never expected a bullying &amp; crooked behaviour from Amazon. I requested a return of defective iPhone SE, no one from Amazon..contd#",refund_or_return,75.0,3
107,Amazon is doing so many frauds. i oredered iphone7and what is receved is a box with charger and earphone so be carefull@amazonIN@AmazonHelp,product_defect,85.0,6
108,@115850 greetings from @158475 . we wanted to be associated for Merchant onboarding for you. Plz guide or suggest ..,other,50.0,
109,#GreatIndianFestival is nothing but #Ullubanaving sale.iPhone 6price shows 20000 but just can not add this item to cart(see time) @115850 https://t.co/qFTLQ67Eov,app_or_site_technical,60.0,
110,@AmazonHelp you guys were supposed to remind me when my membership was due but I didn't get any email therefore was charged,subscription_membership,80.0,10
111,"Voila, look look.. what I found while searching for Sofa Cover 🤣🤣😂😂@115850 @115821 https://t.co/WFrGfIjYQc",general_feedback_or_praise,65.0,
112,@AmazonHelp I've pre-ordered Star Wars Battlefront 2 but haven't received a code for early access to the beta. Please help.,digital_content,85.0,9
113,@AmazonHelp second failed delivery - building is a business - driver didn’t attempt today - will there be an issue delivering??,delivery_problem,90.0,2
114,Wow..Got the phone from @115850 with special offer valid till 8th October.  InFocus Turbo5plus For 8499 https://t.co/K6FUKVBFDL,general_feedback_or_praise,60.0,
115,"@AmazonHelp After canceled orders and delayed order, the only thing left was your customer executives raising their voice. Pathetic services",delivery_problem,90.0,2
116,@115850 Hello! Can you please put me in touch with someone from customer care? This is regarding an order I placed.,other,50.0,
117,@115821 has released the trailer for #RedOaks season 3. Bummer it’ll be the last season. 1 of the best shows around. So funny!,general_feedback_or_praise,70.0,
118,@AmazonHelp  hi i preordered star wars battle front II and you sent an email with beta code but its not working,digital_content,80.0,9
119,@115850  don't know which Algorithm is used here. buy 2@949 and buy 3@855.😑 https://t.co/IK1L8Uvty7,billing_or_payment,60.0,
120,@115830 been charged for prime wrongly and can’t find how to request a refund... can you help? Thanks,refund_or_return,85.0,3
121,@115850 I tried to come as seller but not able to board the platform need a professional to assist me to get approval of category etc.,other,50.0,
122,Hey @AmazonHelp I received refund for last amazon prime but now see that the past two months have been charged..I am still being charged https://t.co/ZYYf2D21Bq,billing_or_payment,80.0,5
123,Hi @115850 team. How do one change the billing address of an already placed order?,cancellation_or_change,75.0,4
124,@AmazonHelp hi I’ve ordered qualifying products so I could receive the baby box but I’m not getting the option to claim the box.,other,50.0,
125,"@115850 I paid for mobile12 day back,to be dely by 26thwasted lot of time with cust service,2day back amazon claims delivered without dely",delivery_problem,85.0,2
126,@115850 Not satisfied with the CX experience. The price is now available at cheaper price and you're not refunding the difference amount. https://t.co/VKhDw6FJHN,billing_or_payment,75.0,5
127,@AmazonHelp The BETA token for Star Wars Battlefront 2 does not work.,digital_content,80.0,9
128,"@120474 
Hi, when will you be sending out Ed Sheeran tickets out for June 2018?",other,50.0,
129,Damn @115821 what’s the point in preordering a book if I’m not gonna get it until a week after release?!,order_status,80.0,1
130,ARRIVING: An iPhone I never ordered! @115850 is it a #DiwaliGift for being a loyal customer? I am happy if it is... https://t.co/IWT4CXLYoa,other,50.0,
131,an @AmazonHelp delivery guy called 2 threaten me 4 giving feedback 4 a product not delivered.Bye bye @115850 u lost a loyal customer today,delivery_problem,90.0,2
132,@AmazonHelp @10261 Final request; Now nearly 2 months late on order. RAM Prices are up $1.5+ per GB; Is MD16GK2D3186610AB discontinued?,order_status,80.0,1
133,@AmazonHelp I pre ordered Star Was Battlefront II  on XB1 and supposed to get beta code. Does this come from you or am I missing something?,digital_content,60.0,
134,@AmazonHelp @116089 @141157  @115786 @XboxSupport   - can one of you assist me with the BETA issue for star wars!! your all blaming each other,digital_content,60.0,
135,"@AmazonHelp 

Still havent recieved my parcel. Could you track where abouts this is please. The tracking number is A10040684583",delivery_problem,90.0,2
136,@115850 My foot size is 10.5 UK/India - can u manage the product mentioned in the link? https://t.co/LBY3ZKkhjK,other,50.0,
137,@115821 I placd an order iPhone se 32 Gb variant with net banking and my acc blocked for security reason!My  Order ID 404-6662997-2205169,account_access,80.0,7
138,@115850 I have some Issues with my amazon account help me our please,account_access,80.0,7
139,Hey @115850. There was no bookmark with the recent two books I got.It would be nice if you could send some with the more books I ordered.,general_feedback_or_praise,65.0,
140,"@115850 @AmazonHelp your socail media team is useless, have never helped. Only forward a link to call you support. Why is it called A help",general_feedback_or_praise,75.0,11
141,"Playing to the gallery? I've been providing details since July, but to no avail @115850 @115851 #NoBrand https://t.co/j2F5Gjl6e5",general_feedback_or_praise,70.0,
142,"@AmazonHelp Delivery guys aren't calling. I get texts saying ""We tried to deliver"". Every day. Every delivery. For days. (Bangalore)",delivery_problem,90.0,2
143,"Had to cancel my order today from @116090 2 day shipping item still not shipped, horrible experience with the CSR. @AmazonHelp",cancellation_or_change,80.0,4
144,"@115850  Broken product received for order 408-7624111-6539547

Looking for replacement, cu care was unable to register replace.
Do check https://t.co/b9wltyKr7f",product_defect,90.0,6
145,@115821  your international customer service is appalling. You should’ve ashamed.,general_feedback_or_praise,70.0,
146,@118919 my kindle is not working and I find no Amazon service center in Hyderabad. Need help :(,product_defect,80.0,6
147,@115850 Order 4__credit_card__ Instead of delivering my parcel the post office sent me this false paper when no one came to deliver. https://t.co/zMz3DGtntb,delivery_problem,90.0,2
148,Thanks @115850 for bringing such an amazing deal InFocus Turbo5plus For 8499 wow can't wait to buy it https://t.co/iG6FROxYty,general_feedback_or_praise,70.0,
149,@127852 @115828 where is my PS4 Beta code for Battlefront 2?,digital_content,80.0,9
150,@115821 this is probably not a good place to leave my packages at a condo...right inside the gate? https://t.co/89v8lb0dPF,delivery_problem,80.0,2
151,. @115850 is there a customer care no. I can call and interact with an actual human? Or are u nt interested in knowing how uv fucked up.,general_feedback_or_praise,60.0,
152,"Hello @115850 When I ordered a loafer, then a formal shoe came to me. But still in waiting for return &amp;refund. https://t.co/zqsADKij0g",refund_or_return,80.0,3
153,@AmazonHelp hey can you check DMs,other,50.0,
154,Hey @115830 I've been waiting for you to collect my return for days now and I can't find a way to contact anyone about it! Help!?,delivery_problem,85.0,2
155,"@AmazonHelp if i wanna buy an iphone 8plus(64gb) whose price is around 64k,can i pay 10k instant via ntbnking and the rest in no cost emi.",billing_or_payment,70.0,
156,I am not the BETA Token bae I perceived I was? @AmazonHelp @116089 https://t.co/j5McVlD3jC,other,50.0,
157,"hi @amazonhelp, can you please help with order no 114-6790525-1580205! it was placed on 9/30 but hasn't shipped as of yet!",order_status,80.0,1
158,"@AmazonHelp I'm facing issue linking my kindle edition to print version. In spite of many emails, it's not getting resolved. What can I do?",digital_content,75.0,9
159,@117634  hello my kindle is dying.  I full charge it and in a few minutes the battery begins to drawn.  It won’t last. What can I do?,product_defect,85.0,6
160,Getting really pissed off w/ @115830 Charged me £308 on Friday 'in error' Still waiting for refund confirmation despite several phonecalls,refund_or_return,90.0,3
161,"@116935 

Yr app on ipad keeps telling me my password is wrong - i am uninstalling and unsubscribing 30 mins after getting it",account_access,80.0,7
162,"Well, I'm done with @115821. Seriously? Scripted answers to chat support? 3 attempts to find my house that all failed without a call? #fail",delivery_problem,75.0,2
163,Would be great if when you ordered a book from @115821 it didn't come looking like it's been completely battered @AmazonHelp,product_defect,80.0,6
164,@115850 why are you sending sending sending sending sending same sms 5 times for each stage of product purchase to delivery??,app_or_site_technical,70.0,
165,"@115850 placed an order for AC, cancelled same day, amount pending from last 12 days #AmazonGreatIndianFestival not managed properly",cancellation_or_change,80.0,4
166,@115850 sir i order samsung j7 prime rs 10'500  in amazon pay how many cash back i get?,billing_or_payment,60.0,
167,"@115850 Goofup with product delivery to wrong address Order#408-6362281-0698719. Support have done nothing, despite two escalations. 😟😔😕",delivery_problem,90.0,2
168,"@AmazonHelp No code for preordering Star Wars Battlefront II physically, and now I can’t use my Amazon store card to buy it digitally? Why??",digital_content,75.0,9
169,"I got my redme 4 today. But I'm not satisfied with the product so I want to return d same. Kindly assist @115850
Order 408-1160678-3266756",refund_or_return,85.0,3
170,"@AmazonHelp you guyz fo me new way to cheat customers. Price on website 20K and when you buy,price is changed. You guys are cheaters https://t.co/cYJ6vH5BtD",general_feedback_or_praise,70.0,
171,"@115850 customercare completely useless,not helping, act like written scripts, no supervisor to speak with, 32K not refunded, AC cancelled",refund_or_return,90.0,3
172,Hi @115850 I pay for 2-day delivery for a reason. And the reason isn't that agent can call me and tell me he'll deliver on the 3rd day.,delivery_problem,85.0,2
173,@AmazonHelp I am located in Florida. How on earth is this acceptable for a 1-day shipping order? This has happened TWICE in a row both 1 day shipping. 2 weeks to get 2 orders with 1 day shipping is ridiculous.. https://t.co/uCMfRos4Gz,delivery_problem,90.0,2
174,"@115850 How conniving can U be? A product gets delayed by 6 days, apparently as a ""compassionate gesture"", ur cust care rep offers(1/2)",delivery_problem,70.0,
175,"Dear @115850  wish to know about my refund status , Your DA came and collected the package but status shows as return requested",refund_or_return,80.0,3
176,@AmazonHelp My order says delivered but hasn’t arrived.  How do I get a refund?,delivery_problem,90.0,2
177,"@115833 doesn't work for me now ""trouble understanding"" although I have internet- servers down?  Anyone else?",app_or_site_technical,70.0,
178,"@115850  hey can you help to deliver my package today, which is schedule to reach tom.. In urgent need of that package",delivery_problem,70.0,
179,"When I pay for next day shipping, I expect my package to get here the next day! Being delayed two days is unacceptable. @AmazonHelp",delivery_problem,90.0,2
180,"@AmazonHelp Sir, two items hd ordered mistakely. Then i cancelled this order. But i caouldn't get refund rs 229 which was debited from my ac",refund_or_return,85.0,3
181,". @115850, you may have some great deals, but what’s the point if the customer cannot purchase the product? Think there’s some problem.",app_or_site_technical,70.0,
182,@115821 I'd like to thank you for the swift refund for my order that never arrived. Such quick actions engender great loyalty,general_feedback_or_praise,85.0,11
183,@115850 do we really save 7000 RS? are you really giving the discount of 64% @4168 great going guys. https://t.co/mgJb0hwjcr,other,50.0,
184,"@115850 when will Fire TV with 4K Ultra HD and Alexa Voice Remote | Streaming Media Player
Be launched in India?",other,50.0,
185,@AmazonHelp there is no button to see if I am eligible. 🤔 https://t.co/7CIZmn9zgD,app_or_site_technical,80.0,8
186,"So @115821 refers me 2 seller, seller says I have escalated issue to Amazon. Round n round we go. Slow clap. Well done!",general_feedback_or_praise,60.0,
187,@AmazonHelp the inability to get a straight answer from your support team dumbfounds me.  Constant lies &amp; half truths #COMPLAINT #pissedoff,general_feedback_or_praise,80.0,11
188,@115830 i ordered battlefront 2 off your website and still havent received my beta code after 3 customer service staff said i would by now,digital_content,85.0,9
189,@115830 why do u feel it's ok to leave parcels on the door step like this.shambles https://t.co/8kf6vJZs8b,delivery_problem,90.0,2
190,@115850 very very bed experience to my family,general_feedback_or_praise,70.0,
191,@115850 Alexa - who is the chief minister of Tamilnadu ??,other,50.0,
192,"@115850 very irresponsible  ORDER #405-9317605-5910754, ORDER # 405-9317605-5910754 Current Status of Investigation ?",general_feedback_or_praise,75.0,11
193,"@AmazonHelp Have reported, let's see what action you take.",other,50.0,
194,@AmazonHelp Can you please explain why my truthful &amp; factual review of the product I received from your company cannot be posted? https://t.co/x3krZ4uxhW,other,50.0,
195,@115850 we are receiving some messages on whatsapp abt sale quizzes but the website addr looks bit weird https://t.co/ZtsOfIok0m,other,50.0,
196,@115850 are offering this delivery boy jobs? Please explain. https://t.co/xyf057bBFU,other,50.0,
197,"https://t.co/rEAxCzB7vJ

@115830 @116324 Disgraceful",general_feedback_or_praise,60.0,
198,Hey @115850 this shoe costs 1499/- across all sizes in Decathlon stores so stop cheating and increasing the price for larger sizes. https://t.co/gtvFGVYXi1,billing_or_payment,75.0,5
199,"Denial of Service and Late delivery by #Amazon, complaint filed against @115850 
https://t.co/gFiNiQLmQs",delivery_problem,90.0,2
200,@AmazonHelp I need to return 2 items and have had to get separate return barcodes. Can I send them back together?They were sent in 1 package,refund_or_return,85.0,3
201,My @115821 order was delivered like this by their own logistics company. Missing camera and no packing slip yet they say they cannot help!? https://t.co/v5bBV249VM,delivery_problem,90.0,2
202,@AmazonHelp just gone to use Amazon prime and won't deliver until Friday 6th October?,order_status,80.0,1
203,"Not only was my @115821 account hacked for a third time, but their customer service had the nerve to be extremely rude to me about it.",account_access,85.0,7
204,Nothing exciting about @115850 ongoing sale this time. September deals were so much better :(,general_feedback_or_praise,70.0,
205,"No #Malayalam movies in your catalog, @119625?! https://t.co/h9i378D0ca",other,60.0,
206,@115850 my phone's finger print scanner is not working. Also the technician was supposed to arrive in the afternoon but still not here!,product_defect,75.0,6
207,"@AmazonHelp Hi there, a CD I ordered recently has a large crack on the front of it. I was wondering how it can be replaced; not refunded.",refund_or_return,85.0,3
208,@115850  Amazon selling 300cr washing machine for 25k! What an idea to sell product at 99.99995% discount. https://t.co/7lFMtufJ8Y,other,50.0,
209,Is ABP Maza selling agent of AMAZON INDIA?,other,50.0,
210,"@AmazonHelp your delivery drivers really need training.
Stack them up in front of the door 👍🏽 https://t.co/gvQQuTmvc5",delivery_problem,80.0,2
211,Lulz. I haven't received my parcel yet and @115850 are sending someone to collect it from me tomorrow.,order_status,70.0,
212,"@AmazonHelp Hi, I cancelled an order yesterday I have got an email stating that also but I was wondering when I’ll be refunded?",refund_or_return,90.0,3
213,@AmazonHelp trying to log in on the app &amp; on the normal website and keep getting this and a random email address keeps coming up on the app? https://t.co/IaCLLx9bJf,app_or_site_technical,85.0,8
214,"@115850 @149473 there is no response on my order id 69950813752, bluedart provides worst response with no updates about delivery",order_status,75.0,1
215,"@AmazonHelp @115850 

Wrongly delivered. Please deliver it to correct id https://t.co/Dy1v5v1kpR",delivery_problem,85.0,2
216,"@AmazonHelp Need help with my order, purchased last Thursday and it has said “shipping soon” for about 4 days now.",order_status,80.0,1
217,Order id 408-9284363-8106739.Amazon cheat and dont refund my money.@115821,refund_or_return,90.0,3
218,@AmazonHelp @115790 I bought the Ronaldo edition of fifa 18 but i haven't recieved my weekly pack that comes with it. Please help.,digital_content,80.0,9
219,@115830 thanks to your customer service adviser Roshain really helpful and great manor on the phone,general_feedback_or_praise,75.0,11
220,None of my birthday packages that I ordered for myself came...not @115821 Prime and not @6614 ....I'm bummed AF and my Birthday is tomorrow,delivery_problem,90.0,2
221,"@AmazonHelp @115850 I ordered this book Z38194916, Curse of yesterday, in Sep. It hasn't been delivered yet. Frustrated by your service.",order_status,80.0,1
222,"@115830 placed 2 orders separately yesterday, at separate times, paid postage on both but you put them in the same 📦, can I get a refund?",refund_or_return,85.0,3
