conv_id,text,predicted_intent,confidence,intent_id,n_grounding_examples,top_similarity,escalate,escalate_reason,draft_reply,gold_intent,gold_escalate
1164,@AmazonHelp Alexa keeps saying that amazon music is not configured for the device does she mean the Dot or the Sonos? 🤔 she is being a pain!,app_or_site_technical,80.0,8.0,3,0.6845823103689552,False,"confident intent, not high-stakes, strong historical match found",Let's troubleshoot together! Please DM us with your device details so we can help with the Amazon Music configuration. ^GG,app_or_site_technical,False
2935,@115821 I’ve been a loyal Prime member for many years but the days of reliable 2 day shipping appear to be over along with personable customer service. Very disappointing. Unreliable USPS shipping needs to go and bring back USA based customer service.,general_feedback_or_praise,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,general_feedback_or_praise,False
3898,@115850  delivered a faulty product and on cancel the order and after pickup of my product u r unable 2 find the whereabout of my product.,refund_or_return,85.0,3.0,3,0.716591950221485,False,"confident intent, not high-stakes, strong historical match found","I'm sorry for the trouble with your return. Please reach out to our support team here: https://t.co/vlvfJr4nN9, and we'll look into this for you. ^SH",refund_or_return,False
610,"Gotta love going from 1 day shipping to ""yeah, hopefully by the weekend"" @115821",order_status,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,delivery_problem,False
3716,"Dear @115821 while I am a satisfied customer overall,I must tell you that my last few orders haven't met the #prime member 2 day shipping that is part of membership,why is this happening more frequently?may have to rethink membership renewal soon.I needed these today 🙁 https://t.co/CP6HPDCG1e",subscription_membership,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,subscription_membership,False
4331,Finally settle down to watch the new season of Outlander and there’s no audio. What’s going on @117795? I need my Jamie fix.,digital_content,80.0,9.0,3,0.5699398953119382,False,"confident intent, not high-stakes, strong historical match found","@AmazonHelp I'm sorry for the audio issue! Have you tried restarting your device? If that doesn’t help, please reach out to the Amazon Video team here: https://t.co/JzP7hlA23B ^TD",digital_content,False
1296,@115850 what worse service by amazon send the wrong product ..and I raised requested for retuned the product but still no response,refund_or_return,80.0,3.0,3,0.7249352728907487,False,"confident intent, not high-stakes, strong historical match found","I'm sorry for the trouble with your order! Please contact our support here: https://t.co/vlvfJr4nN9, and we can help sort this out for you. ^JC",refund_or_return,False
4964,"Basketball shoes and stuff come packed in air pillows, but a ceramic sink? Nope that's robust.

Not quite, dear @115850 https://t.co/dlHwd6ewGT",product_defect,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,product_defect,False
2847,@AmazonHelp No. Called customer service since it showed as delivered but not ready for pickup. They suggested I come pick it up now.,delivery_problem,85.0,2.0,3,0.6238303443497717,False,"confident intent, not high-stakes, strong historical match found","I'm sorry for the confusion! Please check with your local pickup location directly, or feel free to DM us for further assistance. ^JE",delivery_problem,False
4219,"@115821 : ""your package has been delivered."" 
Me, looking around outside and at my neighbors house: ""The fuck it has been!""",delivery_problem,90.0,2.0,3,0.6602794366541819,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the confusion regarding your package delivery. Please follow these steps for assistance: https://t.co/xCMI7SiuC0. ^EZ,delivery_problem,False
4196,"@115821 hi, I ordered one plus 5 phone- delivered on 10/9/17. I have not received cashback of Rs 2000- I used axis bank debit card. Status?",billing_or_payment,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,billing_or_payment,True
2979,It's really frustrating trying to order things through @115821 lately. They seem to screw up shipment and delivery every time.,delivery_problem,90.0,2.0,3,0.7679401434988882,False,"confident intent, not high-stakes, strong historical match found",@AmazonHelp I'm really sorry for the delivery issues you're facing! Please reach out to us via DM so we can help resolve them. ^GL,delivery_problem,False
1574,@115850 @AmazonHelp very poor and pathetic service from Amazon. Used product sent. And Packing too weak and below ordinary https://t.co/Yx0luSLkmT,product_defect,85.0,6.0,3,0.7351465216772376,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for your experience! Please provide details so we can help address your concerns. ^MA,product_defect,False
1461,@115850  received broken bottle https://t.co/JYke9IEhbL,product_defect,80.0,6.0,3,0.7060697867464198,False,"confident intent, not high-stakes, strong historical match found",I'm sorry your bottle arrived broken. Please report it to us here: https://t.co/nrxVrkdWfQ for a replacement. ^HD,product_defect,False
164,@115850 why are you sending sending sending sending sending same sms 5 times for each stage of product purchase to delivery??,app_or_site_technical,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,app_or_site_technical,False
3848,"@115850 i swear i will never evey buy anything from amazon, iphone bought during the sale now develops speaker issues",product_defect,85.0,6.0,3,0.6061071907343885,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your experience with the phone. Please report this to our support team here: https://t.co/vlvfJr4nN9 so we can assist you. ^MA,product_defect,False
433,@115821 this seems like more box than necessary for this small rolled up door mat https://t.co/nieiHK7isP,other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
4785,@115821 I have received a box of cherry 7 up from you today which was a bit of a surprise as I didn't order them!  How should I proceed?,delivery_problem,80.0,2.0,3,0.558494879952531,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear you received the wrong item! Please reach out to us directly here: https://t.co/dLEsHyo7RQ for assistance. ^CR,delivery_problem,False
3623,"@AmazonHelp Ordered this item directly through Amazon, and unfortunately,turned up with a chip in the Blu-Ray case. Any chance of new case? https://t.co/7wPjxEFqlZ",product_defect,80.0,6.0,3,0.5583395852486949,False,"confident intent, not high-stakes, strong historical match found","I'm sorry about the condition of your Blu-Ray case. Please send us a DM, and we’ll see how we can help! ^AC",product_defect,False
109,#GreatIndianFestival is nothing but #Ullubanaving sale.iPhone 6price shows 20000 but just can not add this item to cart(see time) @115850 https://t.co/qFTLQ67Eov,app_or_site_technical,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,app_or_site_technical,False
2098,@AmazonHelp Trying to find the right number to ring now,account_access,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
3045,"@115821 facing problem since last month. Yesterday I ordered and  chossed payment option COD. MY ORDER GET CANCELLED BY AMAZON. 
.",cancellation_or_change,75.0,4.0,3,0.6638371725148465,False,"confident intent, not high-stakes, strong historical match found",I apologize for the issues you faced with your order cancellation. Please reach out to our support team here: https://t.co/NjUaimkaS3 for assistance. ^MM,cancellation_or_change,False
1102,@AmazonHelp why do u use @118706  2 deliver when their drivers don't have decency to ring the customer's bell &amp; leave note b/c its large pack?,delivery_problem,85.0,2.0,3,0.7279874423607001,False,"confident intent, not high-stakes, strong historical match found",I apologize for the delivery issues you've encountered. Could you provide us with more details via DM? ^GG,delivery_problem,False
3857,@115850 @115821 do you know guys in just two month time this joker Amazon India cancelled valid purchase without informing the buyer?Cheat,cancellation_or_change,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,cancellation_or_change,False
2782,Hi @115850  I ordered same item twice and while clicking on cancel order link is not opening...how to cancel?,cancellation_or_change,75.0,4.0,3,0.7125134701678383,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the trouble with canceling your order. Please contact our support team here: https://t.co/vlvfJr4nN9 for immediate help. ^SB,cancellation_or_change,False
3347,"@115850 hey!
The product that I ordered and the product that I got delivered is not the same. Please look into the matter",product_defect,90.0,6.0,3,0.6589586014480229,False,"confident intent, not high-stakes, strong historical match found","I'm sorry for the mix-up with your order. Please send us a DM with the details, and we'll help sort it out. ^AH",product_defect,False
2634,I love that I have @115821 prime yet I have to pay for returns even on prime items. Guess it’s time to cancel my account.,subscription_membership,80.0,10.0,3,0.6637283147042607,False,"confident intent, not high-stakes, strong historical match found",I understand your frustration regarding returns. Please check our return policy for Prime items here: https://t.co/X2oTDBunkO. We're here to help! ^AG,subscription_membership,False
268,Apparently not if you pre-ordered through @115821 🙄 https://t.co/U2k9qCPrkr,other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
4069,Some days you have a great shopping experience with @115821. Others you consider cancelling Prime. #FirstWorldProblems,subscription_membership,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,general_feedback_or_praise,False
1684,"@115850 
HI, It's regarding ORDER # 171-9071082-7027526
I want to return this item. as camera picture quality is not at all good.
I called earlier to return, customer care person told me no worries, we will take return. Now return date is over. Please do needful.
Regards,
Vijay",refund_or_return,85.0,3.0,3,0.6163587945909423,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the confusion regarding your return. Please use this link for assistance: https://t.co/4o5PqP90vH. ^SB,refund_or_return,False
2916,"I have a feeling that my amazon order was lost before it got to the carrier. 

Local stores stopped carrying it. Needed it for Sunday A.M.☹️",order_status,75.0,1.0,3,0.510034766667193,False,"confident intent, not high-stakes, strong historical match found",I’m sorry to hear about the trouble! It sounds like there may be an issue with stock. Please reach out so we can check your order status. ^AV,order_status,False
120,@115830 been charged for prime wrongly and can’t find how to request a refund... can you help? Thanks,refund_or_return,85.0,3.0,3,0.6439374917199261,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the confusion with your Prime charges. Please reach out to us here: https://t.co/JzP7hlA23B so we can assist you with the refund request. ^AS,refund_or_return,False
1630,@115850 where is my pt,order_status,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,order_status,True
368,@115821 someone has hacked my account and is buying £100s worth of gift vouchers please help ☹️☹️☹️☹️,account_access,90.0,7.0,3,0.643246577632946,True,high-stakes intent ('account_access') always routed to a human,I'm sorry your account was compromised. Please DM us immediately so we can help secure it! ^JR,account_access,True
2518,@AmazonHelp my review is not posted just bcoz i mentioned that the trimmer received was not sealed and it was returned by sum1 n sent to me,product_defect,75.0,6.0,3,0.5542199430139267,False,"confident intent, not high-stakes, strong historical match found",I understand your frustration. Please reach out to us here: https://t.co/rS49hgaADF so we can investigate this further. ^VR,product_defect,False
3527,"@AmazonHelp I need to return an item, you've sent the label but there is no pass my parcel shop even near me? It was a faulty item",refund_or_return,80.0,3.0,3,0.7171696810538059,False,"confident intent, not high-stakes, strong historical match found",@AmazonHelp I’m sorry to hear about the return issue. Please report this here: https://t.co/JzP7hlA23B and we’ll help you out. ^CO,refund_or_return,False
4535,Every single time when I try to add gift card in @115850 there is a error... Everytime..don't know why..#wtf,app_or_site_technical,80.0,8.0,3,0.5697323950436708,False,"confident intent, not high-stakes, strong historical match found","I'm sorry to hear you're having trouble adding a gift card. Please reach out to our support team here: https://t.co/vlvfJr4nN9, and we’ll assist you. ^NK",app_or_site_technical,False
2769,@AmazonHelp may I know how to reset my kindle device. I have forgotten my password and I am unable to open it,account_access,80.0,7.0,3,0.6768319218405672,True,high-stakes intent ('account_access') always routed to a human,"To reset your Kindle device, press and hold the power button for about 20 seconds until it restarts. If you still have trouble, please DM us for further assistance! ^AB",account_access,True
2736,"@115850 
₹120000....is this real price or any mistake on this product....pearl😊 https://t.co/Y729pJjDoe",other,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
822,@115850 Is Amazon Calling to Customer to Pay in Card instead of Cash or its a Fake call. I received 2 call today,account_access,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,account_access,True
2280,"@115850 even after customer gives receipt of courier which is as clear as it gets, your customer care tells that it is not clear. #fraud",refund_or_return,85.0,3.0,3,0.6327852039065412,False,"confident intent, not high-stakes, strong historical match found",I'm sorry for the hassle you're facing. Please share your details here: https://t.co/GIJyeYqKE0 and we'll look into this right away. ^ZH,refund_or_return,False
4927,This is how @115821 shipped frames. No protection at all. 🙄 Naturally they arrived smashed https://t.co/wXiqqKZbdO,product_defect,90.0,6.0,3,0.5930804510516533,False,"confident intent, not high-stakes, strong historical match found",I'm really sorry to hear about the damage to your frames! Please check your replacement/refund options here: https://t.co/4Obl3nH3CA ^AT,product_defect,False
30,@149601 when trying to download battlefront2 beta it says 'not available for purchase'. I've redeemed the code from @115830 but no joy 😣,digital_content,75.0,9.0,3,0.7096206899953662,False,"confident intent, not high-stakes, strong historical match found",Sorry to hear you're having trouble with the beta code. Please reach out to us via DM for assistance. ^WM,digital_content,False
2881,@AmazonHelp I have an email saying my parcel was put through my letterbox but I've been in all day and it's definitely not come to me.,delivery_problem,85.0,2.0,3,0.8262731766114487,False,"confident intent, not high-stakes, strong historical match found",Sorry to hear your parcel is missing! Let's check the details together: https://t.co/JzP7hlA23B ^WJ,delivery_problem,False
3215,@AmazonHelp I had ordered a product which is not yet delivered and customer care said that would refund.I didn't order to get refund.,delivery_problem,85.0,2.0,3,0.7389084558035965,False,"confident intent, not high-stakes, strong historical match found","I understand your concern. To assist you better, please reach out to us here: https://t.co/JzP7hlA23B. ^KM",delivery_problem,False
4346,I spend soo much $$ buying books for my Kindle and have now realized my Prime membership gives me thousands of free reads. 😭 ILY @115821!!!,subscription_membership,80.0,10.0,3,0.6120000412810341,False,"confident intent, not high-stakes, strong historical match found",@AmazonHelp We're so happy to hear you're enjoying your Prime membership! Happy reading! ^VN,subscription_membership,False
3123,"@115850 I placed order for Redmi 4, but mins after it, it was cancelled automatically. order no is 402-9300257-9709134 want to know reason",cancellation_or_change,80.0,4.0,3,0.8606915509842599,False,"confident intent, not high-stakes, strong historical match found",I’m sorry to hear your order was canceled. Please check your email for a message detailing the reason for the cancellation. ^AB,cancellation_or_change,False
1378,"@116618 hey, can't find the game on my Roku Amazon Prime app.  What gives?",digital_content,75.0,9.0,3,0.6323164755331631,False,"confident intent, not high-stakes, strong historical match found","@116618 Have you tried updating your Roku app? If you still can't find the game, let us know the model of your Roku for better assistance. ^LB",digital_content,False
1559,Have to say @115830 are the WORST for buying vinyl off. Ordered 2 weeks ago &amp; cant get it together at all. Never again. Back to HMV/Fopp.,general_feedback_or_praise,75.0,11.0,3,0.4934332414961043,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your experience. Please let us know the specifics so we can assist you better. ^PF,general_feedback_or_praise,False
2272,"@115850 orders Vivo y66,seals were temperd,used phone, scratch on screen delivered.cheating customer.plz return or exchange",product_defect,90.0,6.0,3,0.6886190991694484,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about the issue with your phone. Please reach out to our support team here for assistance: https://t.co/vlvfJr4nN9. ^AU,product_defect,False
353,@AmazonHelp how is this Two-Day shipping? https://t.co/8qGljRvrMZ,order_status,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,delivery_problem,False
2026,Hey @119625 director's cut or theatre cut ?? https://t.co/lrKH9GJEe5,other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,digital_content,False
3919,@115850 could you please check why order 406-6869646-2018701 is still in pending status? How long will it take to get benefits activated?,order_status,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,order_status,False
3156,@AmazonHelp @115850 Why would you guys block my number for the call back service when I have been a regular customer since years now?,account_access,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
790,"@AmazonHelp Hi. I'd set auto-renewal off deliberately, recently, yet I've still been charged for another year. Any way to reverse this?",billing_or_payment,80.0,5.0,3,0.6525930055147171,True,high-stakes intent ('billing_or_payment') always routed to a human,I’m sorry to hear about the billing issue! Please reach out to us via this link: https://t.co/CYqkdUakWJ and we'll look into it together. ^GM,billing_or_payment,True
3661,"@AmazonHelp Can I use Amazon GC balance on an order from Amazon Prime Now, given they use the same billing system (I think)?",billing_or_payment,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,billing_or_payment,True
3396,"@115850 I didn't Recieved my cashback yet, give me my cashback asap,i m extremely upset with your pathetic service (__email__)",refund_or_return,85.0,3.0,3,0.6305819669040696,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about the delay in your cashback. Please connect with our support team for assistance with this issue. ^SG,refund_or_return,False
1657,@AmazonHelp Terrible experience with cancellation process in amazon. https://t.co/45cQ0rWx07,cancellation_or_change,80.0,4.0,3,0.6616864869190398,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your cancellation experience. Please report this to our support team here: https://t.co/vlvfJr4nN9 for further assistance. ^JC,cancellation_or_change,False
4375,"Well done @117093 Fantastic service tracking down my missing order.  Professional, pleasant &amp; credit for my inconvenience.",general_feedback_or_praise,80.0,11.0,3,0.63276224835439,False,"confident intent, not high-stakes, strong historical match found","Thank you for your kind words! We're glad to hear your issue was resolved, and we appreciate your patience and feedback. 😊 ^KM",general_feedback_or_praise,False
3020,@115850 Got delivered a crappy iPhone by ur shitty vendor GreenMobiles. Wish I could dildo fuck u guys. @115821 sucks. Will nvr order agn,product_defect,85.0,6.0,3,0.6468306589472327,False,"confident intent, not high-stakes, strong historical match found",I'm sorry to hear about your experience with the iPhone. Please reach out via DM so we can investigate this further.,product_defect,False
4318,"Dear @AmazonHelp, why am I “Prime” on @115830 but not on @116316? I have a valid #Prime membership on .co.uk.",subscription_membership,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,subscription_membership,False
2751,@115850 what is the benefit of offer when one can not place the order trying to pay from 3 days,billing_or_payment,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,billing_or_payment,True
2841,@AmazonHelp suggestion: make a Amazon casting app to mirror my mobile on to firestick cause old smart TV's don't support new ver. miracast..,app_or_site_technical,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,app_or_site_technical,False
314,"@115850 your description of echo dot includes ""play music on amazon prime music"". Is that available now in India or coming up?! yay!!",digital_content,75.0,9.0,3,0.6560695570526751,False,"confident intent, not high-stakes, strong historical match found",We're working to bring all features to India. Stay tuned for updates! ^NK,digital_content,False
2493,@AmazonHelp thank you for the quick resolution and response to my account being compromised. Much appreciate this ❤️,account_access,85.0,7.0,3,0.6597076227203389,True,high-stakes intent ('account_access') always routed to a human,"@AmazonHelp You're welcome! We're glad we could help resolve your issue. If you need anything else, feel free to reach out! ❤️",general_feedback_or_praise,False
1752,@115850 I didn’t get any return confirmation msg/email after 2 hours returning product to blue dart guys.,refund_or_return,75.0,3.0,3,0.7084793109718782,False,"confident intent, not high-stakes, strong historical match found","@AmazonHelp I'm sorry for the wait on your return confirmation. Please give it 5-7 days, and let us know if you need further help. ^SQ",refund_or_return,False
736,"@115833 Can we got support for Gaana on Echo device in India, Listening music on #Gaana is much better than any other else",other,50.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,digital_content,False
3966,@115850 @AmazonHelp can u pls help me find the winner's list for spot the phones??,other,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,other,True
3803,@115850 while u r busy promotin various sales plz dont forget after sales/customer service.Return pick up gettin rescheduled for 10days,delivery_problem,75.0,2.0,3,0.6634101723821736,False,"confident intent, not high-stakes, strong historical match found",I apologize for the delay with your return pick-up. Please share your order details here: https://t.co/beaaDm0muc and we'll check it. ^GK,delivery_problem,False
4107,@115850 waiting for my order since morning...but no updates till now... customer care n delivery boy not responding...what the hell https://t.co/XYPOWnL1pt,order_status,85.0,1.0,3,0.70788675376289,False,"confident intent, not high-stakes, strong historical match found",I apologize for the inconvenience. Please reach out to us here: https://t.co/vlvfJr4nN9 and we'll help you track your order. ^RD,order_status,False
3814,"@115850 delivery person number switch off not able to contact. Plz help
ORDER # 404-9484007-7074750",delivery_problem,80.0,2.0,3,0.8171222867040302,False,"confident intent, not high-stakes, strong historical match found",@115850 Sorry for the trouble! Please reach out to us via DM so we can assist you with contacting the delivery person. ^MA,delivery_problem,False
3279,Amazon India. Very poor services. They have kept me wating for the pick of Dell Display  which I received in a damaged state. Sunday gone!!,product_defect,85.0,6.0,3,0.6010975010956412,False,"confident intent, not high-stakes, strong historical match found",@115850 I'm really sorry for your experience and the delay in pickup. Please contact our support team for further assistance: https://t.co/vlvfJr4nN9. ^KP,product_defect,False
4297,@119625  please add some famous shows on prime ! Its nothing in comparison with netflix i.e netfilx&gt;prime video :(,digital_content,60.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,digital_content,False
1295,@115830 so “add on” basically means I can’t order this because you want me to spend over £20 to make it worth while for Amazon? https://t.co/VKYZwXkTFG,app_or_site_technical,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,app_or_site_technical,False
2497,@AmazonHelp @115850 supplier MK Laboratories is real unprofessional and follows no amazon principles 404-6441867-9525948 @30889 https://t.co/0Z9hK2CjgR,general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,general_feedback_or_praise,False
3178,@115850 i place 2 Order # 406-0047227-2461909 &amp; 406-9046171-0664359. I select wrong delivery address by mistake. Plz update my address,cancellation_or_change,85.0,4.0,3,0.7650753717998252,False,"confident intent, not high-stakes, strong historical match found",I’m sorry to hear you entered the wrong address. Please reach out to our support team via DM so we can assist you with updating it. ^CB,cancellation_or_change,False
1292,"@115833 just saying, to keep up the good work with having nerdy responses on Alexa, you should have a programmed response for (cont'd)",general_feedback_or_praise,70.0,,0,,True,intent unclear: Phase 2 classification confidence was below threshold,,general_feedback_or_praise,False
